places_fk,name,value,project_fk
9096,geonames_link,https://www.geonames.org/2879139,7
9096,wikidata_link,http://www.wikidata.org/entity/Q2079,16
9097,geonames_link,https://www.geonames.org/2879137,7
9097,wikidata_link,http://www.wikidata.org/entity/Q2079,16
9098,geonames_link,https://www.geonames.org/6557738,7
9098,wikidata_link,http://www.wikidata.org/entity/Q3802,16
9099,geonames_link,https://www.geonames.org/3035681,7
9099,wikidata_link,http://www.wikidata.org/entity/Q6397,16
9100,geonames_link,https://www.geonames.org/6542113,7
9100,wikidata_link,http://www.wikidata.org/entity/Q6221,16
9101,geonames_link,https://www.geonames.org/2761369,7
9101,wikidata_link,http://www.wikidata.org/entity/Q1741,16
9102,geonames_link,https://www.geonames.org/3014078,7
9102,wikidata_link,http://www.wikidata.org/entity/Q22730,16
9103,geonames_link,https://www.geonames.org/2895042,7
9103,wikidata_link,http://www.wikidata.org/entity/Q3150,16
9104,geonames_link,https://www.geonames.org/6540120,7
9104,wikidata_link,http://www.wikidata.org/entity/Q2683,16
9105,geonames_link,https://www.geonames.org/2975233,7
9105,wikidata_link,http://www.wikidata.org/entity/Q22737,16
9106,geonames_link,https://www.geonames.org/2971722,7
9106,wikidata_link,http://www.wikidata.org/entity/Q244565,16
9107,geonames_link,https://www.geonames.org/6556610,7
9107,wikidata_link,http://www.wikidata.org/entity/Q7042,16
9108,geonames_link,https://www.geonames.org/6538612,7
9108,wikidata_link,http://www.wikidata.org/entity/Q20103,16
9109,geonames_link,https://www.geonames.org/6618295,7
9109,wikidata_link,http://www.wikidata.org/entity/Q47135,16
9110,geonames_link,https://www.geonames.org/3220962,7
9110,wikidata_link,http://www.wikidata.org/entity/Q2973,16
9111,geonames_link,https://www.geonames.org/7284571,7
9111,wikidata_link,http://www.wikidata.org/entity/Q484870,16
9112,geonames_link,https://www.geonames.org/6534067,7
9112,wikidata_link,http://www.wikidata.org/entity/Q7038,16
9113,geonames_link,https://www.geonames.org/6557785,7
9113,wikidata_link,http://www.wikidata.org/entity/Q18998,16
9114,geonames_link,https://www.geonames.org/2998286,7
9114,wikidata_link,http://www.wikidata.org/entity/Q45656,16
9115,geonames_link,https://www.geonames.org/2267057,7
9115,wikidata_link,http://www.wikidata.org/entity/Q597,16
9116,geonames_link,https://www.geonames.org/2790472,7
9116,wikidata_link,http://www.wikidata.org/entity/Q134121,16
9117,geonames_link,https://www.geonames.org/5128581,7
9117,wikidata_link,http://www.wikidata.org/entity/Q60,16
9118,geonames_link,https://www.geonames.org/6556832,7
9118,wikidata_link,http://www.wikidata.org/entity/Q2090,16
9119,geonames_link,https://www.geonames.org/3220975,7
9119,wikidata_link,http://www.wikidata.org/entity/Q3042,16
9120,geonames_link,https://www.geonames.org/6542281,7
9120,wikidata_link,http://www.wikidata.org/entity/Q617,16
9121,geonames_link,https://www.geonames.org/3247433,7
9121,wikidata_link,http://www.wikidata.org/entity/Q2942,16
9122,geonames_link,https://www.geonames.org/3247908,7
9122,wikidata_link,http://www.wikidata.org/entity/Q6829,16
9123,geonames_link,https://www.geonames.org/2764347,7
9123,wikidata_link,http://www.wikidata.org/entity/Q260320,16
9124,geonames_link,https://www.geonames.org/3165525,7
9124,wikidata_link,http://www.wikidata.org/entity/Q495,16
9125,geonames_link,https://www.geonames.org/6541465,7
9125,wikidata_link,http://www.wikidata.org/entity/Q6537,16
