value,n,fm_place_id
Köln,133,NA
Strasbourg,20,NA
Leipzig,9,NA
Hanau,5,NA
Nürnberg,4,NA
Avignon,3,NA
Brescia,3,NA
Ieper,3,NA
Wien,3,NA
s.l.,3,NA
Cosmopolis,2,NA
Haguenau,2,NA
Helmstedt,2,NA
Jena,2,NA
Parma,2,NA
Schlettstadt,2,NA
Trevoux,2,NA
Amberg,1,NA
Assisi,1,NA
Châlons-en-Champagne,1,NA
Darmstadt,1,NA
Eisleben,1,NA
Girona,1,NA
Herborn,1,NA
Köln,1,NA
Limoges,1,NA
Lisboa,1,NA
Mons,1,NA
Namur,1,NA
Neiße,1,NA
Neustadt,1,NA
New York,1,NA
Nürenberg,1,NA
Offenbach,1,NA
Oiktopolis,1,NA
Padova,1,NA
Saint Vincent (mystification),1,NA
Solingen,1,NA
Speyer,1,NA
Steyr,1,NA
Torino,1,NA
Tours,1,NA
Vicenza,1,NA
